계정코드,계정명칭,차대변구분
2101034,예수금(농특세),차/대변 모두 가능
2101035,예수금(교육세),차/대변 모두 가능
2101036,예수금(체육기금),차/대변 모두 가능
2101037,예수금(식음료),차/대변 모두 가능
2101038,예수금(프로샵),차/대변 모두 가능
2101039,예수금(서울옥션),차/대변 모두 가능
2101040,예수금(손망실),차/대변 모두 가능
2101041,예수금(객실선납),차/대변 모두 가능
2101042,예수금(운임),차/대변 모두 가능
2101043,예수금(하역비),차/대변 모두 가능
2101044,예수금(텍스프리),차/대변 모두 가능
2101045,예수금(중도매인미수금),차/대변 모두 가능
2101050,예수금(온라인도매시장),차/대변 모두 가능
2101051,예수금(온라인도매시장운임),차/대변 모두 가능
2101052,예수금(온라인도매시장하역비),차/대변 모두 가능
2101100,예수보증금(단기),차/대변 모두 가능
2101101,예수보증금(임대),차/대변 모두 가능
2101102,예수보증금(청약),차/대변 모두 가능
2101103,예수보증금(기타),차/대변 모두 가능
2101104,관리비예수금,차/대변 모두 가능
2101150,입회예수금,차/대변 모두 가능
2101160,현재가치할인차금(단기예수보증,차/대변 모두 가능
2101170,유동성예수보증금,차/대변 모두 가능
2101200,미지급비용,차/대변 모두 가능
2101201,미지급비용(보험료),차/대변 모두 가능
2101202,미지급비용(지급수수료),차/대변 모두 가능
2101203,미지급비용(이자비용),차/대변 모두 가능
2101204,미지급비용(기타),차/대변 모두 가능
2101205,미지급비용(카드),차/대변 모두 가능
2101300,당기법인세부채,차/대변 모두 가능
2101301,당기법인세부채(법인),차/대변 모두 가능
2101302,당기법인세부채(주민),차/대변 모두 가능
2101303,당기법인세부채(농특),차/대변 모두 가능
2101400,부가세예수금,차/대변 모두 가능
2101500,이연법인세부채(유동),차/대변 모두 가능
2101510,리스부채(유동),차/대변 모두 가능
2101550,수탁품,차/대변 모두 가능
2101560,수탁품(온라인도매시장),차/대변 모두 가능
2101600,본점(호반),차/대변 모두 가능
2101800,임대선수금,차/대변 모두 가능
2101801,임대선수금(아파트),차/대변 모두 가능
2101802,임대선수금(상가),차/대변 모두 가능
2101803,임대선수금(오피스),차/대변 모두 가능
2101804,현재가치할인차금(임대선수),차/대변 모두 가능
2101840,임대보증금(단기),차/대변 모두 가능
2101850,상가임대보증금(단기),차/대변 모두 가능
2101870,유동성주택임대보증금,차/대변 모두 가능
2101880,현재가치할인차금(유동성임대),차/대변 모두 가능
2101900,금융리스부채(유동),차/대변 모두 가능
2102000,금융보증부채(유동),차/대변 모두 가능
2103000,파생상품부채(유동),차/대변 모두 가능
2103100,공사손실충당부채(유동),차/대변 모두 가능
2103200,하자보수충당부채(유동),차/대변 모두 가능
2103300,소송충당부채(유동),차/대변 모두 가능
2103310,기타손실충당부채(유동),차/대변 모두 가능
2103320,입회금(리스-유동),차/대변 모두 가능
2103321,입회금(유동),차/대변 모두 가능
2103330,현재가치할인차금(입회금-유동),차/대변 모두 가능
2200100,장기차입금,차/대변 모두 가능
2200101,장기차입금(일반대출),차/대변 모두 가능
2200102,장기차입금(PF대출),차/대변 모두 가능
2200103,장기차입금(관계회사),차/대변 모두 가능
2200110,현재가치할인차금(일반대출),차/대변 모두 가능
2200200,임대보증금,차/대변 모두 가능
2200210,현재가치할인차금(임대),차/대변 모두 가능
